problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass
37,dart,579,0.76225,1,0,0.77333,0,0,0.75847,1,0,0.73375,0,0,0.72798,1,0,0.66114,1,0,0.69305,0,0,0.65616,0,0,0.73507,1,0,0.74893,1,0,0.73148,1,0,0.7352,1,0,0.77093,1,0,0.69707,1,0,0.70835,1,0,0.62798,1,0
39,dart,664,0.61991,1,0,0.62257,0,0,0.67538,1,0,0.66228,1,0,0.70272,1,0,0.65876,0,0,0.68999,0,0,0.63001,0,0,0.6262,0,0,0.54567,0,0,0.64971,1,0,0.66593,0,0,0.65877,0,0,0.66343,0,0,0.70662,1,0,0.64133,0,0
40,dart,607,0.75098,1,1,0.736,1,0,0.40957,1,0,0.35059,0,0,0.38669,1,1,0.65378,1,1,0.72426,1,0,0.60012,0,0,0.77881,1,1,0.64567,0,0,0.31089,1,0,0.39668,1,1,0.71463,1,1,0.79747,1,1,0.65154,1,1,0.22143,0,0
41,dart,422,0.72509,1,1,0.65383,1,0,0.49253,1,0,0.60054,0,0,0.54085,0,0,0.70478,1,0,0.6262,0,0,0.69289,1,0,0.72509,1,1,0.52956,1,0,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.57583,0,0,0.63273,1,0,0.75004,1,1
42,dart,235,0.39794,0,0,0.60945,1,0,0.4601,1,0,0.50069,1,0,0.55651,0,0,0.45172,0,0,0.58324,1,0,0.44091,1,0,0.43244,1,0,0.55597,1,0,0.44432,1,0,0.52947,1,0,0.44565,1,0,0.38681,1,0,0.56407,0,0,0.4633,0,0
43,dart,528,0.66269,1,0,0.54873,0,0,0.60853,0,0,0.65819,1,1,0.72389,1,1,0.74727,1,0,0.79318,1,1,0.76165,1,1,0.68525,0,0,0.3352,0,0,0.60988,0,0,0.69822,1,0,0.70707,1,0,0.66519,0,0,0.67759,1,1,0.47507,0,0
44,dart,347,0.7001,1,0,0.70455,0,0,0.65619,0,0,0.53006,0,1,0.69494,1,1,0.78444,1,1,0.6291,0,0,0.64581,1,1,0.75795,1,1,0.7151,1,1,0.76444,1,1,0.58527,0,0,0.59555,0,0,0.68271,0,0,0.6912,1,1,0.66796,1,1
45,dart,292,0.6903,1,1,0.72509,1,1,0.6903,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.71978,1,1,0.72509,1,1,0.73879,1,1,0.71978,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.72509,1,1,0.6903,1,1
46,dart,657,0.36305,1,0,0.59765,0,0,0.62083,1,0,0.69915,1,0,0.56365,0,0,0.55735,0,0,0.59064,0,0,0.47477,1,0,0.70197,1,0,0.46401,1,0,0.63141,1,0,0.66539,0,0,0.68893,1,0,0.60054,1,0,0.65175,1,0,0.54027,0,0
47,dart,429,0.67669,0,0,0.74689,1,0,0.69147,0,0,0.66967,0,0,0.68665,0,0,0.74062,0,0,0.73225,1,1,0.69545,0,0,0.73576,0,0,0.70317,0,0,0.74524,0,0,0.7022,0,0,0.71092,1,0,0.70912,0,0,0.75866,0,0,0.58848,0,0
48,dart,444,0.68639,1,1,0.67868,1,1,0.67868,1,1,0.68639,1,1,0.67868,1,1,0.67022,0,0,0.29067,1,1,0.67156,1,1,0.67868,1,1,0.68639,1,1,0.71778,1,1,0.67633,1,1,0.69112,1,1,0.69112,1,1,0.67868,1,1,0.68639,1,1
49,dart,381,0.52584,0,0,0.56082,1,0,0.57724,0,0,0.47619,1,0,0.51879,0,0,0.57546,0,0,0.5259,0,0,0.60669,0,0,0.57964,1,0,0.53599,0,0,0.52824,0,0,0.5848,0,0,0.57816,0,0,0.61353,0,0,0.54883,1,0,0.54558,0,0
51,dart,540,0.73155,1,0,0.71795,0,0,0.72194,1,1,0.71867,1,1,0.72517,1,1,0.72517,1,1,0.72194,1,1,0.71587,1,0,0.73003,1,0,0.71795,0,0,0.72517,1,1,0.72517,1,1,0.71015,1,1,0.74834,1,1,0.58184,0,0,0.53277,0,0
52,dart,479,0.60901,1,0,0.75011,1,0,0.55031,1,0,0.64186,0,0,0.44492,1,0,0.61383,1,0,0.60643,1,0,0.59411,1,0,0.75011,1,0,0.44932,0,0,0.5649,1,0,0.47435,0,0,0.58277,1,0,0.61523,1,0,0.65214,1,0,0.5991,1,0
53,dart,212,0.75458,1,1,0.75458,1,1,0.70859,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1
54,dart,571,0.49548,1,0,0.32432,0,0,0.64674,0,0,0.7232,0,0,0.51753,0,0,0.5065,0,0,0.43449,0,0,0.49241,0,0,0.46773,1,0,0.48489,1,0,0.42892,0,0,0.50564,1,0,0.55152,0,0,0.43494,0,0,0.55725,0,0,0.47978,0,0
55,dart,474,0.52264,1,1,0.5566,1,0,0.49733,1,1,0.50499,1,0,0.51166,1,1,0.49982,0,0,0.53921,1,0,0.52289,0,1,0.52498,1,1,0.50173,1,1,0.50902,1,0,0.52994,1,1,0.5118,1,0,0.51438,0,0,0.54166,1,1,0.52513,1,1
56,dart,578,0.68492,1,1,0.74163,1,1,0.6725,1,1,0.72369,1,1,0.73929,1,1,0.75026,1,1,0.69091,1,1,0.59901,0,0,0.71374,1,1,0.71602,1,1,0.70743,1,1,0.74782,1,1,0.72086,1,1,0.73929,1,1,0.74995,1,0,0.74117,1,1
57,dart,620,0.5525,1,0,0.67912,0,0,0.72099,1,0,0.68719,1,0,0.56046,0,0,0.59604,1,0,0.66025,1,0,0.72927,1,0,0.34725,1,0,0.4708,0,0,0.67782,1,0,0.64258,1,0,0.58555,1,0,0.60297,1,0,0.66334,0,0,0.53396,0,0
58,dart,425,0.70086,0,0,0.62541,0,0,0.65312,1,0,0.67779,0,0,0.67794,1,0,0.65061,0,0,0.67817,1,0,0.62691,0,0,0.63964,1,0,0.69687,0,0,0.64293,1,0,0.67974,1,0,0.64663,0,0,0.64497,1,0,0.66146,0,0,0.64359,1,0
59,dart,515,0.6142,0,0,0.61624,0,0,0.67378,1,1,0.53791,1,0,0.64938,1,0,0.61126,1,0,0.64904,1,1,0.61889,1,1,0.63716,1,1,0.64661,0,0,0.65481,1,1,0.66676,1,1,0.6764,1,1,0.63775,0,0,0.65216,1,0,0.66183,1,1
60,dart,312,0.57883,1,1,0.57892,1,1,0.58221,0,0,0.58666,0,0,0.66957,1,1,0.71284,1,1,0.57892,1,1,0.57892,1,1,0.57892,1,1,0.57892,1,1,0.57892,1,1,0.62745,1,0,0.58666,0,0,0.53184,0,0,0.69026,1,1,0.58864,1,1
61,dart,578,0.70634,1,1,0.65111,1,0,0.67762,0,0,0.65553,1,1,0.72597,1,1,0.73934,1,1,0.67081,1,0,0.70275,1,1,0.74925,0,0,0.70886,1,0,0.73889,1,1,0.63814,0,0,0.73411,1,1,0.7375,1,1,0.66132,0,0,0.66504,0,0
62,dart,462,0.61691,0,0,0.37534,1,0,0.72665,0,0,0.62344,0,0,0.59853,0,0,0.55751,0,0,0.60714,0,0,0.63735,1,0,0.5357,0,0,0.6206,0,0,0.68309,1,0,0.52924,0,0,0.64262,1,0,0.60246,0,0,0.65363,1,0,0.64021,1,0
63,dart,563,0.55274,1,0,0.54246,1,0,0.51702,1,0,0.56588,1,0,0.49107,1,0,0.54729,1,0,0.53768,1,0,0.53789,1,0,0.51811,1,0,0.55884,1,0,0.49483,1,0,0.54137,0,0,0.51538,0,0,0.52148,1,0,0.54824,1,0,0.54634,0,0
64,dart,836,0.70325,1,0,0.70382,1,0,0.68337,1,0,0.63401,1,0,0.66173,0,0,0.70893,1,0,0.51843,0,0,0.64804,0,0,0.68337,1,0,0.64185,1,0,0.63098,1,0,0.64038,1,0,0.68298,1,0,0.62967,0,0,0.70325,1,0,0.64441,1,0
65,dart,614,0.67225,1,0,0.6048,0,0,0.70441,1,0,0.65273,1,0,0.67009,0,0,0.6243,1,0,0.72755,1,0,0.634,0,0,0.68382,0,0,0.63589,1,0,0.55146,0,0,0.60442,0,0,0.62629,0,0,0.60212,1,0,0.5824,0,0,0.63718,1,0
66,dart,583,0.4852,0,0,0.67731,0,0,0.58313,0,0,0.6607,1,0,0.63722,0,0,0.67646,1,0,0.65972,1,0,0.62179,0,0,0.67144,1,0,0.61788,0,0,0.68815,0,0,0.65647,0,0,0.69865,0,0,0.63337,1,0,0.59547,0,0,0.68345,0,0
67,dart,519,0.66851,0,0,0.48554,0,0,0.6054,0,0,0.56889,0,0,0.50525,0,0,0.36085,0,0,0.38302,0,0,0.48319,0,0,0.49815,0,0,0.42111,1,0,0.56833,0,0,0.54219,0,0,0.2707,0,0,0.60663,1,0,0.4787,0,0,0.603,1,0
68,dart,717,0.56741,0,0,0.52565,1,0,0.58624,0,0,0.54794,0,0,0.55587,0,0,0.6106,1,0,0.59923,0,0,0.56114,1,0,0.23146,1,0,0.65282,0,0,0.62726,0,0,0.59354,1,0,0.51872,1,0,0.60044,1,0,0.55352,0,0,0.56465,1,0
69,dart,555,0.62965,0,0,0.56882,0,0,0.23808,0,0,0.44723,1,0,0.58901,1,0,0.687,1,0,0.64735,1,0,0.12693,1,0,0.665,0,0,0.61293,1,0,0.65573,1,0,0.60674,1,0,0.61212,1,0,0.67174,1,0,0.7055,0,0,0.63495,0,0
70,dart,861,0.34969,1,0,0.57665,1,0,0.62224,0,0,0.28435,1,0,0.37427,1,0,0.50703,0,0,0.55427,1,0,0.51517,0,0,0.55773,0,0,0.59922,1,0,0.60235,0,0,0.63636,0,0,0.36745,0,0,0.46724,0,0,0.32264,1,0,0.62236,1,0
71,dart,433,0.83495,0,0,0.74108,0,0,0.84296,0,0,0.84296,0,0,0.83495,0,0,0.75265,0,0,0.84641,0,0,0.71793,0,0,0.85488,0,0,0.74969,0,0,0.7541,0,0,0.745,0,0,0.83495,0,0,0.71511,0,0,0.82059,0,0,0.8156,0,0
72,dart,511,0.62839,0,0,0.63717,1,0,0.60394,0,0,0.662,0,0,0.57114,0,0,0.62126,1,0,0.62604,1,0,0.71,1,0,0.70707,1,0,0.65432,1,0,0.66115,1,0,0.22937,0,0,0.66155,1,0,0.60806,0,0,0.4559,0,0,0.7273,1,0
73,dart,424,0.29303,1,0,0.59512,0,0,0.38842,0,0,0.49173,0,0,0.57369,0,0,0.47223,1,0,0.58275,0,0,0.58916,0,0,0.48782,0,0,0.5459,1,0,0.34464,0,0,0.55609,1,0,0.38268,0,0,0.58765,0,0,0.55864,0,0,0.34863,0,0
74,dart,607,0.65144,1,0,0.59885,0,0,0.5242,0,0,0.60818,1,0,0.58031,0,0,0.51331,1,0,0.59532,1,0,0.65875,1,0,0.64788,1,0,0.5668,0,0,0.59516,1,0,0.63244,1,0,0.52061,0,0,0.47794,0,0,0.54114,1,0,0.63947,1,0
75,dart,777,0.35113,0,0,0.68639,0,0,0.66056,0,0,0.70812,1,0,0.64578,0,0,0.62166,0,0,0.69214,1,0,0.67295,0,0,0.67629,1,0,0.64508,1,0,0.66151,1,0,0.66367,0,0,0.69792,1,0,0.59999,0,0,0.37351,1,0,0.62839,0,0
76,dart,488,0.56031,0,0,0.63224,0,0,0.56313,0,0,0.59072,0,0,0.64767,0,0,0.62171,0,0,0.63958,0,0,0.63758,0,0,0.70308,0,0,0.48467,0,0,0.52413,0,0,0.50378,0,0,0.59726,1,0,0.52794,0,0,0.61952,0,0,0.58107,0,0
77,dart,418,0.65516,0,0,0.71303,0,0,0.60049,0,0,0.51015,0,0,0.62956,0,0,0.56244,0,0,0.56119,1,0,0.68098,0,0,0.62666,0,0,0.61111,0,0,0.56701,0,0,0.62116,0,0,0.53947,0,0,0.49961,0,0,0.57484,0,0,0.55705,0,0
78,dart,527,0.6828,1,0,0.54886,1,0,0.49259,1,0,0.58746,1,0,0.4857,0,0,0.50054,0,0,0.52414,0,0,0.55389,0,0,0.53309,0,0,0.61313,1,0,0.57375,0,0,0.64224,1,0,0.47311,0,0,0.70168,1,0,0.53643,0,0,0.62494,1,0
79,dart,462,0.51331,0,0,0.43311,0,0,0.45772,0,0,0.48439,0,0,0.47748,0,0,0.51004,0,0,0.53223,0,0,0.44903,0,0,0.51782,1,1,0.53106,1,1,0.44803,1,0,0.43552,0,0,0.4833,1,0,0.38742,0,0,0.4155,0,0,0.43158,0,0
80,dart,542,0.72457,0,0,0.65801,0,0,0.61896,0,0,0.51687,0,0,0.52173,0,0,0.34101,0,0,0.26911,0,0,0.6308,1,0,0.65042,0,0,0.58562,0,0,0.6967,1,0,0.59179,1,0,0.67927,1,0,0.60021,0,0,0.60561,0,0,0.64313,0,0
81,dart,1323,0.7509,1,0,0.70952,1,0,0.82887,1,0,0.6625,0,0,0.74625,1,0,0.52179,0,0,0.65372,0,0,0.58878,0,0,0.56132,0,0,0.61515,0,0,0.59481,0,0,0.62417,1,0,0.78074,1,0,0.69519,1,0,0.58654,0,0,0.76823,0,0
82,dart,663,0.68592,1,1,0.68664,1,1,0.71055,1,1,0.6788,1,1,0.58895,1,0,0.57705,1,0,0.69191,1,1,0.705,1,1,0.66247,0,0,0.67332,0,0,0.65845,1,1,0.63397,0,0,0.61558,1,0,0.68452,0,0,0.72044,1,0,0.71416,1,1
83,dart,404,0.6147,0,0,0.60234,0,0,0.55739,0,0,0.57534,0,0,0.45135,0,0,0.56854,0,0,0.565,1,0,0.66985,0,0,0.75022,0,0,0.67361,0,0,0.55263,1,0,0.65642,0,0,0.50299,1,0,0.58185,0,0,0.45101,0,0,0.6022,0,0
84,dart,535,0.45041,1,0,0.62164,0,0,0.13731,1,0,0.55416,1,0,0.19623,1,0,0.4126,1,1,0.41989,0,0,0.42644,0,0,0.45329,1,0,0.43743,1,1,0.52281,0,0,0.49783,0,0,0.12198,0,0,0.43341,0,0,0.54387,0,0,0.48404,1,0
85,dart,398,0.51833,1,0,0.62443,1,0,0.62919,1,0,0.70797,1,0,0.64132,1,0,0.60546,0,0,0.61835,1,0,0.65451,1,0,0.6256,1,0,0.62475,1,0,0.59713,1,0,0.59872,1,0,0.68718,1,0,0.56173,1,0,0.50911,1,0,0.6701,1,0
86,dart,580,0.47934,1,0,0.49162,0,0,0.49369,1,0,0.46049,0,0,0.53079,0,0,0.74341,0,0,0.39844,0,0,0.43194,0,0,0.51335,0,0,0.53108,0,0,0.4421,0,0,0.57838,0,0,0.47886,0,0,0.53982,0,0,0.47622,0,0,0.37653,0,0
87,dart,972,0.64203,0,0,0.63817,0,0,0.56174,1,0,0.62201,0,0,0.57962,0,0,0.65692,0,0,0.70879,0,0,0.64053,0,0,0.65821,1,0,0.62282,0,0,0.64395,0,0,0.57172,0,0,0.6568,0,0,0.72506,1,0,0.70226,0,0,0.65728,0,0
88,dart,570,0.53531,1,0,0.62782,0,0,0.58152,0,0,0.59789,1,0,0.46607,0,0,0.73008,1,0,0.3,1,0,0.74001,0,0,0.47669,1,0,0.2005,0,0,0.56916,0,0,0.74782,0,0,0.52259,1,0,0.74345,0,0,0.67092,0,0,0.45957,0,0
89,dart,484,0.44893,0,0,0.47592,1,0,0.66991,1,0,0.72754,0,0,0.40069,1,0,0.66667,0,0,0.6309,1,1,0.65007,0,0,0.47019,0,0,0.66075,0,0,0.48729,0,0,0.38798,0,0,0.58312,0,0,0.58554,0,0,0.48167,1,1,0.61598,0,0
90,dart,570,0.45915,1,0,0.45329,0,0,0.3381,0,0,0.38094,0,0,0.37237,0,0,0.43312,0,0,0.40153,0,0,0.56578,0,0,0.47714,0,0,0.47066,0,0,0.49255,0,0,0.49374,0,0,0.11333,0,0,0.43369,0,0,0.49912,0,0,0.43668,0,0
91,dart,639,0.5956,1,0,0.47803,0,0,0.52165,0,0,0.66519,1,0,0.55164,0,0,0.61371,0,0,0.52534,0,0,0.5443,0,0,0.64703,1,0,0.6983,1,0,0.5369,0,0,0.54721,1,0,0.50654,1,0,0.57948,1,0,0.51364,1,0,0.57577,1,0
